election_year,smd_id,external_id,candidate_name,votes,vote_share,ranking,winner,write_in_winner,margin_of_victory,margin_of_victory_percentage,num_candidates,total_votes
2022,smd_2022_7D01,,Write-in,14,0.04011461318051576,2.0,False,False,-321,-0.9197707736389684,2,349
2022,smd_2022_7D02,,Write-in,46,1.0,1.0,True,True,0,0.0,1,46
2022,smd_2022_7D03,,Write-in,73,1.0,1.0,True,True,0,0.0,1,73
2022,smd_2022_7D04,1bdda976ba08dc7cec94209360f0b69210b31b99f6954c18378112fe,Milton Hardy,602,0.9694041867954911,1.0,True,False,583.0,0.9388083735909822,2,621
2022,smd_2022_7D04,,Write-in,19,0.030595813204508857,2.0,False,False,-583,-0.9388083735909822,2,621
2022,smd_2022_7D05,a85f4e3e4ed3835c88b19cfde64496cc2ac58a6d9313eea0e66f30c7,Ebony Payne,586,0.9750415973377704,1.0,True,False,571.0,0.9500831946755408,2,601
2022,smd_2022_7D05,,Write-in,15,0.024958402662229616,2.0,False,False,-571,-0.9500831946755408,2,601
2022,smd_2022_7D06,f23e4bba216572c51c5fbc885e7dde9e3860b3ec657d4f594877f788,Marc Friend,371,0.958656330749354,1.0,True,False,355.0,0.9173126614987079,2,387
2022,smd_2022_7D06,,Write-in,16,0.041343669250646,2.0,False,False,-355,-0.9173126614987079,2,387
2022,smd_2022_7D07,,Write-in,275,1.0,1.0,True,True,0,0.0,1,275
2022,smd_2022_7D08,0f4010ae2f898c059d56bb70af69a46d29ad9f58e31a59c7c576f455,Brian Alcorn,489,0.9569471624266145,1.0,True,False,467.0,0.913894324853229,2,511
2022,smd_2022_7D08,,Write-in,22,0.043052837573385516,2.0,False,False,-467,-0.913894324853229,2,511
2022,smd_2022_7D09,4e588b3137fb3235a46ef2c013f49b82ee54dcf777cbc9b3f3d6864c,Ashley Schapitl,399,0.5435967302452316,1.0,True,False,79.0,0.10762942779291551,3,734
2022,smd_2022_7D09,72a04fa2e38459defa28116ca4b0b3aab267e45d60b79cbea1d61e76,Shane Seger,320,0.4359673024523161,2.0,False,False,-79,-0.10762942779291551,3,734
2022,smd_2022_7D09,,Write-in,15,0.020435967302452316,3.0,False,False,-384,-0.5231607629427792,3,734
2022,smd_2022_7D10,5793d261f3a4dcbb4b9a6c3888c1a3b0d513cfe569047bbf4d9fe44c,Alison Horn,581,0.8581979320531757,1.0,True,False,485.0,0.7163958641063515,2,677
2022,smd_2022_7D10,,Write-in,96,0.14180206794682423,2.0,False,False,-485,-0.7163958641063515,2,677
