dcboe_hash_id,smd_id,candidate_name,num_candidacies,first_year
30f93736cd1f7228213556011b3d12688c0709d7ad02101a8422490e,smd_6D05,Rebekah Caruthers,1,2016
30fc9e3f457c4e59024e43bb5a0b49612a03cd85534e0c1399da377e,smd_1A01,Marvin L. Johnson,1,2014
3107f042adecca0162f00cee714d20c42880853cfdb85d196769ef8b,smd_8D05,"Thomas Ruffin, Jr.",1,2014
313dac465056bd436f0d03115da687bf65c6bb9d6da08bbe8fcf3d12,smd_6B10,Peter Gould,1,2014
31b5b96d9b301403eb85b84a434eb0ba7ca24c31ba162934ab9efd5e,smd_7E06,Lakeshia Lloyd-Lee,1,2016
31e94755a995dba5b1a7a65594d230656c2673ffea37f3f1dfa3bfed,smd_5C01,Saladin Jeru,1,2014
31f95c1fe470e9149c266cec445504171bdca12706c69ca184db4f73,smd_3F06,Monika Nemeth,1,2018
322bd18130e8e429bd4ea02309506dbfc3a59e00903bd135cad2ce93,smd_4D01,Alain N. Duroseau,1,2012
322d4a0e0637c754690bcc6284c16ac51ce5af9f69032815eb712203,smd_1A04,Sentamu Kiremerwa,1,2012
3275c4d28a2ed0ac1fcaf739b7b6ee89420f59825e4f37c53481b851,smd_1A02,Alexander Gallo,1,2012
32839603707af4321fa974b1d29412fc54f17b86eb63e9636105a78d,smd_5C07,Luke Cieslewicz,1,2018
334af372a69dabacf920b6249931987552f87764242f78f37e9f1729,smd_1D02,Alex Hastie,1,2016
335d40e473ec845c4a9bfccc9b0b0640b8269d9ee4fcacb4fc7873ff,smd_3D02,Tom Smith,3,2012
33de79b1165c0f0670fa5d53eed5538a6e6c8a2e42ba6a6a85649e2a,smd_7D06,Antonio Cadogan Jr.,1,2016
33faedf7b85cbdb5cd500c2886cd6997745f803f010b0162730affd2,smd_3F04,Sally W. Gresham,2,2012
33fcdafedde5e12edeb341e5e3245e99a0a71509f72581e2c0d728de,smd_2F08,Howard S. Marks,1,2012
34b44ff1a71620d2bad002d981c44aadf36932a7a7356d3a40b755de,smd_7E07,Jarni Pina,1,2012
34d31b42d2260e4297e00cbd13fba596a260dba0c37e460b506fd4f4,smd_8C07,Mary J. Cuthbert,2,2016
351544467aab1046b549df04c7edaa6c5c0baffb942aa158036025db,smd_3E05,Ed Mcallister,1,2014
3548091b23df575820e6ae3941da1cbad2621b990284abd60fa07352,smd_1B01,Brian Footer,1,2014
35b97b6db34839278785835f41ab7d721978ea49357cfb4067dc1c02,smd_2F05,Omeed Alerasool,1,2016
35bb83fee02e1416d8310758bad6fde22ad80bc7be7df32094ca7aba,smd_3F02,Carolinn A Kuebler,1,2018
3619ee7b7fe8e85df1c05ebffdb4139f613b81bb9481df8bbed12362,smd_5A06,"Albrette ""Gigi"" Ransom",1,2012
36851842c9031e27cad7d109c27333a65fee10f6c66dac68e8ff0ce8,smd_2B03,Bevan Mace,1,2012
36a56b7fb636060d7a47108f6b9e0305091748779b974790c45b344e,smd_5E04,Shelley A. Vinyard,1,2018
36fac275c1afeb7e554aff3b3adcb5dcbb9ca24a45d367dc36e5fa2e,smd_6A03,David Holmes,1,2012
36ffcf497d134ec53eb382d847a95835645ed5dacad7306c8a0c829d,smd_5A05,Allison Defoe,1,2012
371249fc83b9fe94b15603192df6a9c5f4ae2501863e43b2f6b0d038,smd_1A08,Kent C. Boese,4,2012
372bccf1e3a766361858c39b2e4b3aa64ad11308bd97af2e90469903,smd_2F02,John Guggenmos,2,2016
3752f55375d406e93f1f6b0669744ae57f3a9a690dcbace660d19fde,smd_4B07,Alice W Gilmore,1,2018
3800bd8fdb3bac9c96f7056c0a2472ea23e9764f3a1f967fab02987f,smd_1B02,Jeremy C. Leffler,1,2012
3830044d9424f3ea60983653a1b16a087d137900cd8e91bd119ee1f0,smd_5E09,Sam Bonar,1,2018
388ba96fa5006cd135a716cce994b3d02ff36b94b7d5314cec8ed795,smd_6A05,Ruth Ann Hudson,1,2018
389a7efc9eeb796df952d99ac903f3b16c8a2ce880161c116babcf12,smd_6A07,"Necothia ""Nikki"" Bowens",1,2012
38c38270c5f412f89571a1f0a88f35837196fe0760cc761d9a1e3b2a,smd_1B03,Sedrick Muhammad,4,2012
393e90340fa84be8c23a26ac5055d3fb587f71f7e7c9d904abc48fe2,smd_3B05,Brian G. Turmail,3,2014
3a451327b04a0946b8aad98b6205dcdf3ea2105142320ab2f5c4b292,smd_3C03,Kevin Michael Wheatley,1,2012
