smd,full_name,first_name,middle_name,last_name,suffix,is_chair
7.00E+01,Veda Rasheed,Veda,,Rasheed,,
7.00E+02,Linda S. Green,Linda,S.,Green,,
7.00E+03,Ebbon A. Allen,Ebbon,A.,Allen,,
7.00E+04,Takiyah Tate,Takiyah,,Tate,,
7.00E+05,Victor L. Horton,Victor,L.,Horton,,
7.00E+06,Delia Houseal,Delia,,Houseal,,TRUE
7.00E+07,Yolanda Fields,Yolanda,,Fields,,
7F01,Tyrell M. Holcomb,Tyrell,M.,Holcomb,,TRUE
7F02,Terrance Hunter,Terrance,,Hunter,,
7F03,Sheila Carson Carr,Sheila,,Carson Carr,,
7F04,Charlene Exum,Charlene,,Exum,,
7F05,Brittany N. Hughes,Brittany,N.,Hughes,,
7F06,Carol E. Fletcher,Carol,E.,Fletcher,,
8A01,Holly Muhammad,Holly,,Muhammad,,
8A02,Barbara J. Clark,Barbara,J.,Clark,,
8A03,Brian K Thompson,Brian,K.,Thompson,,
8A04,Troy Donte Prestwood,Troy,Donte,Prestwood,,TRUE
8A05,Dorcas Agyei,Dorcas,,Agyei,,
8A06,Tyón Jones,Tyón,,Jones,,
8A07,Hanna Baker,Hanna,,Baker,,
8B01,Leonard Lee Watson Jr.,Leonard,Lee,Watson,Jr.,
8B02,Paul Trantham,Paul,,Trantham,,
8B03,Charles H. Wilson,Charles,H.,Wilson,,
8B04,Darrell Danny Gaston,"Darrell ""Danny""",,Gaston,,
8B05,Betty Scippio,Betty,,Scippio,,
8B06,Humam Abdulmalik,Humam,,Abdulmalik,,
8B07,Keeon Johnson,Keeon,,Johnson,,TRUE
8C01,Mike Austin,Mike,,Austin,,TRUE
8C02,Chyla D. Evans,Chyla,D.,Evans,,
8C03,Robinette Woodland,Robinette,,Woodland,,
8C04,Regina Sharlita Pixley,Regina,,Sharlita Pixley,,
8C05,Mustafa Abdul-Salaam,Mustafa,,Abdul-Salaam,,
8C06,Rhonda L. Edwards-Hines,Rhonda,L.,Edwards-Hines,,
8C07,Salim Adofo,Salim,,Adofo,,
8D01,Patricia Carmon,Patricia,,Carmon,,
8D02,Olivia L. Henderson,Olivia,L.,Henderson,,TRUE
8D03,Absalom Jordan,Absalom,,Jordan,,
8D04,Monique T. Diop,Monique,T.,Diop,,
8D05,Ellen Armstead,Ellen,,Armstead,,
8D06,LaVerne R. Glenn,LaVerne,R.,Glenn,,
8D07,Constance Mobley,Constance,,Mobley,,
8.00E+01,Adeoye Owolewa,Adeoye,,Owolewa,,
8.00E+02,Cheryl Moore,Cheryl,,Moore,,
8.00E+03,Monica Watts,Monica,,Watts,,
8.00E+04,Kendall Simmons,Kendall,,Simmons,,
8.00E+05,Christopher L. Hawthorne,Christopher,L.,Hawthorne,,
8.00E+06,Karlene Armstead,Karlene,,Armstead,,
8.00E+07,Stephen A. Slaughter,Stephen,A.,Slaughter,,TRUE
