smd_id,Name,oanc_name,is_vacant,is_chairperson,oanc_hash_id
smd_2022_7B01,John F. AdamsVice Chairperson,John F. Adams,False,True,4e345d81ec7a1fae434a4479cd1d5c340fd51dfe2551f34458a1edc4
smd_2022_7B02,Jamaal Maurice Pearsall,Jamaal Maurice Pearsall,False,False,b4610737f89e55dd2f68380038b1316598f8c571681bb362996af077
smd_2022_7B03,Travis R. SwansonChairperson,Travis R. Swanson,False,True,342fe6ec6f1270920966c4cf856dd45421ade9c9f97940e5fc5475c9
smd_2022_7B04,Keith Hasan-ToweryTreasurer,Keith Hasan-Towery,False,False,a39b5f4263e2d03dac492ced786bf49b085d53715c35dda4537e37f1
smd_2022_7B05,Elizabeth ReddickSergeant at Arms,Elizabeth Reddick,False,False,6179ad58232a53ff042272f7338d8793c450d7133feaa556c2dc35a1
smd_2022_7B06,Cortez Johnson,Cortez Johnson,False,False,1807dfcf575d99f1eb9b888a777074dfe4bb0d2b2c67b356d7170703
smd_2022_7B07,Jimmie Williams,Jimmie Williams,False,False,6e0fd54a0d015c8806f5431f0d44d95886b439c4640dbd8b2e8f9d9f
smd_2022_7B08,Angela Sydnor,Angela Sydnor,False,False,5fa890933745999e4476036940014cc9e9c2fb5851a8141839508a89
smd_2022_7B09,Michelle HammondSecretary,Michelle Hammond,False,False,3983247b1597ee11ad3547680a13d435c727528d798bb6e1c18356c2
smd_2022_7C01,Brian A. GloverSergeant-at-Arms,Brian A. Glover,False,False,18254ceb56e9e95bf3fe03dd76b70baee2a109ea87296eb9ff6131b3
smd_2022_7C02,Patricia Williams,Patricia Williams,False,False,19c242029a420d898198fd2a0712d73e4f5a8ce52cbae5237319dd02
smd_2022_7C03,Carlos RichardsonSecretary,Carlos Richardson,False,False,9d609ca0174d2d42fe1981f7208fba10af340787bcfe3a64f618da2f
smd_2022_7C04,Anthony Lorenzo Green,Anthony Lorenzo Green,False,False,a5564bd91751d81ee447bde64481bb7c07716a596c94d312920cd3cc
smd_2022_7C05,Mary Gaffney,Mary Gaffney,False,False,fe77ed14bc1d148ddfafea7ff96fbfceda82ef974751af35e0df9113
smd_2022_7C06,Vacant,Vacant,True,False,ac920970c285620dd643f9fd792054f8f5377b61b163db3f886f6c75
smd_2022_7C07,Antawan HolmesChairperson,Antawan Holmes,False,True,34d1de0828edae05b9f5f1d2d852fc253544a7d8d8d452459094e6a8
smd_2022_7C08,Brandon Scott,Brandon Scott,False,False,5139f8b9b12617ecd1c90759df4671ae3383b7d601950b6e6d47413a
smd_2022_7C09,Carrie N. BrownVice Chairperson/Treasurer,Carrie N. Brown,False,True,b9fac0659d0f044ccbdf2c10e1079ac9bcdf2d13a5de67c5f0c06908
smd_2022_7D01,Josh TabornVice Chairperson,Josh Taborn,False,True,25fc10f4689d7f47517c0e1bb1e41fa2aeb862cd1053aabe2f39cf8f
smd_2022_7D02,Vacant,Vacant,True,False,aba3bd1f791de669432cb397c0a7dfc821a3ed9c476d879a72d0e946
smd_2022_7D03,Artilie Wright,Artilie Wright,False,False,0e1f355a878abbf05dd6780483c97bcc554e6fd7df5b11ed888e2064
smd_2022_7D04,Katie Murphy,Katie Murphy,False,False,8e561eba93b54e755ae5fef53890746c78da565243477f27f23b2c02
smd_2022_7D05,Ebony Payne,Ebony Payne,False,False,d791f7c57d97faa0fcf8859c83596e122fec5f8d5142f8d3629958f7
smd_2022_7D06,Dominic A. PachecoSecretary,Dominic A. Pacheco,False,False,657fc7ec41f4aa16010b1d48f3da212c210b0027533398944d1f0bbe
smd_2022_7D07,Brett AstmannTreasurer,Brett Astmann,False,False,5ece2ae45bc1ea0eaffb5e0001271b5bd710e015cf43e62f45e2ea2c
smd_2022_7D08,Brian AlcornChairperson,Brian Alcorn,False,True,8e010c429f7912430ef61d3ae2d0f44e11fd046806b6cb73f81ff332
smd_2022_7D09,Ashley Schapitl,Ashley Schapitl,False,False,388c790ebfcc5548aabbf940de5c78a946acc6cebc9024296ca046b7
smd_2022_7D10,Dev Myers,Dev Myers,False,False,afdcd8952d28ff43ace6fb374fb31c8a8ad34aa799b8319893c74fac
smd_2022_7E01,Dawn CookTreasurer,Dawn Cook,False,False,fe5a475f7759f90d0505b5d5a1a46c8a0fd5eb94a156ddd597e496a2
smd_2022_7E02,Aaron HarrisVice Chairperson,Aaron Harris,False,True,c5704c4301c7fc317b0d1130452922d145e9ecc9c5e004a5165d598a
smd_2022_7E03,Gail Perkins,Gail Perkins,False,False,992ac8e7b0de4f93615c59e1bbed3aceace722309ad82a93942dade4
smd_2022_7E04,Natasha DupeeChairperson,Natasha Dupee,False,True,4ec528c646607084ca5eaa6360e55168321a84696d13392dc87dfb41
smd_2022_7E05,Vacant,Vacant,True,False,dd7f56ee51452a2fb8b04574d523b6f64009a8e432579d7bd7fe88b9
smd_2022_7E06,Ravi K. Perry,Ravi K. Perry,False,False,e98b967b95c4deee48868006c6d7260e67307748d7a9107f7633a86c
smd_2022_7E07,Celete KatoSecretary,Celete Kato,False,False,71d8d0168de1dd1a9aaec39bc23712d3621ba63d1ce4271d100f06a1
smd_2022_7F01,Tyrell M. HolcombChairperson,Tyrell M. Holcomb,False,True,59dfef6d72d9f51f55c280ce709e0da5d05af99242dd25af88e6f2f8
